"S.No","Base Year","State","Centre","Year","Month","Index"
"1","2016","ANDHRA PRADESH","Guntur","2023","Jan","140.4"
"2","2016","ANDHRA PRADESH","Guntur","2025","Jan","153.0"
"3","2016","ANDHRA PRADESH","Guntur","2022","Jan","127.1"
"4","2016","ANDHRA PRADESH","Guntur","2024","Jan","148.0"
"5","2016","ANDHRA PRADESH","Guntur","2021","Jan","119.5"
"6","2016","ANDHRA PRADESH","Nellore","2025","Jan","143.1"
"7","2016","ANDHRA PRADESH","Nellore","2022","Jan","123.3"
"8","2016","ANDHRA PRADESH","Nellore","2024","Jan","138.1"
"9","2016","ANDHRA PRADESH","Nellore","2021","Jan","115.6"
"10","2016","ANDHRA PRADESH","Nellore","2023","Jan","132.9"
"11","2016","ANDHRA PRADESH","Visakhapatnam","2023","Jan","147.3"
"12","2016","ANDHRA PRADESH","Visakhapatnam","2025","Jan","156.0"
"13","2016","ANDHRA PRADESH","Visakhapatnam","2022","Jan","136.7"
"14","2016","ANDHRA PRADESH","Visakhapatnam","2024","Jan","152.6"
"15","2016","ANDHRA PRADESH","Visakhapatnam","2021","Jan","129.1"
"16","2016","ASSAM","Biswanath-Chariali","2024","Jan","149.0"
"17","2016","ASSAM","Biswanath-Chariali","2023","Jan","135.0"
"18","2016","ASSAM","Biswanath-Chariali","2025","Jan","151.6"
"19","2016","ASSAM","Biswanath-Chariali","2021","Jan","123.0"
"20","2016","ASSAM","Biswanath-Chariali","2022","Jan","130.5"
"21","2016","ASSAM","Doom-Dooma Tinsukia","2023","Jan","146.7"
"22","2016","ASSAM","Doom-Dooma Tinsukia","2025","Jan","152.7"
"23","2016","ASSAM","Doom-Dooma Tinsukia","2021","Jan","132.7"
"24","2016","ASSAM","Doom-Dooma Tinsukia","2022","Jan","134.9"
"25","2016","ASSAM","Doom-Dooma Tinsukia","2024","Jan","152.6"
"26","2016","ASSAM","Guwahati","2024","Jan","149.6"
"27","2016","ASSAM","Guwahati","2023","Jan","146.3"
"28","2016","ASSAM","Guwahati","2025","Jan","157.9"
"29","2016","ASSAM","Guwahati","2021","Jan","126.8"
"30","2016","ASSAM","Guwahati","2022","Jan","137.2"
"31","2016","ASSAM","Labac-Silchar","2025","Jan","145.8"
"32","2016","ASSAM","Labac-Silchar","2021","Jan","117.7"
"33","2016","ASSAM","Labac-Silchar","2022","Jan","119.8"
"34","2016","ASSAM","Labac-Silchar","2024","Jan","139.2"
"35","2016","ASSAM","Labac-Silchar","2023","Jan","132.1"
"36","2016","ASSAM","Numaligarh-Golaghat","2023","Jan","137.2"
"37","2016","ASSAM","Numaligarh-Golaghat","2025","Jan","152.2"
"38","2016","ASSAM","Numaligarh-Golaghat","2021","Jan","114.9"
"39","2016","ASSAM","Numaligarh-Golaghat","2022","Jan","118.6"
"40","2016","ASSAM","Numaligarh-Golaghat","2024","Jan","146.0"
"41","2016","ASSAM","Sibsagar","2025","Jan","148.8"
"42","2016","ASSAM","Sibsagar","2022","Jan","126.0"
"43","2016","ASSAM","Sibsagar","2024","Jan","144.3"
"44","2016","ASSAM","Sibsagar","2021","Jan","117.1"
"45","2016","ASSAM","Sibsagar","2023","Jan","136.5"
"46","2016","BIHAR","Munger-Jamalpur","2025","Jan","146.3"
"47","2016","BIHAR","Munger-Jamalpur","2024","Jan","143.0"
"48","2016","BIHAR","Munger-Jamalpur","2022","Jan","121.4"
"49","2016","BIHAR","Munger-Jamalpur","2023","Jan","132.5"
"50","2016","BIHAR","Munger-Jamalpur","2021","Jan","115.7"
"51","2016","BIHAR","Patna","2024","Jan","137.1"
"52","2016","BIHAR","Patna","2021","Jan","117.4"
"53","2016","BIHAR","Patna","2023","Jan","132.5"
"54","2016","BIHAR","Patna","2022","Jan","124.0"
"55","2016","BIHAR","Patna","2025","Jan","140.7"
"56","2016","CHANDIGARH(UT)","Chandigarh","2023","Jan","139.3"
"57","2016","CHANDIGARH(UT)","Chandigarh","2024","Jan","145.9"
"58","2016","CHANDIGARH(UT)","Chandigarh","2021","Jan","122.5"
"59","2016","CHANDIGARH(UT)","Chandigarh","2025","Jan","151.1"
"60","2016","CHANDIGARH(UT)","Chandigarh","2022","Jan","126.8"
"61","2016","CHHATTISGARH","Bhilai","2023","Jan","122.3"
"62","2016","CHHATTISGARH","Bhilai","2022","Jan","118.1"
"63","2016","CHHATTISGARH","Bhilai","2021","Jan","111.7"
"64","2016","CHHATTISGARH","Bhilai","2025","Jan","128.2"
"65","2016","CHHATTISGARH","Bhilai","2024","Jan","127.6"
